movie,productionbudget,domesticgross,worldwidegross,year
Paranormal Activity 4,5000000,53900335,142817992,2012
Happy Death Day,5000000,55683845,125010260,2017
The Visit,5000000,65206105,98677816,2015
Lights Out,5000000,67268835,148806510,2016
Saw II,5000000,87025093,152925093,2005
Born of War,5000000,0,0,2015
Paranormal Activity 3,5000000,104028807,207039844,2011
Split,5000000,138141585,278754594,2017
Get Out,5000000,176040665,252538321,2017
My Big Fat Greek Wedding,5000000,241438208,374890034,2002
Tycoon,5000000,121016,121016,2003
7500,5000000,0,0,2019
Running Forever,5000000,0,0,2015
The Hatching,5000000,0,0,2016
Navy SEAL vs. Zombies,5000000,0,0,2015
Aztec Warrior,5000000,0,0,nown
Should've Been Romeo,5000000,0,0,nown
We Have Your Husband,5000000,0,0,nown
Capricorn One,5000000,0,0,1977
Let's Kill Ward's Wife,5000000,0,0,2015
Captain Fantastic,5000000,5879835,21340234,2016
Y Tu MamÃ¡ TambiÃ©n,5000000,13649881,33649881,2002
Sea Rex 3D: Journey to a Prehistoric World,5000000,6096582,16515203,2010
Not Easily Broken,5000000,10572742,10732909,2009
UHF,5000000,6157157,6157157,1989
The Haunting of Molly Hartley,5000000,13442412,15318257,2008
Hillaryâs America: The Secret History of the De…,5000000,13099931,13099931,2016
Lone Star,5000000,12961389,12961389,1996
April Fool's Day,5000000,12947763,12947763,1986
Diner,5000000,12592907,12592907,1982
Before I Fall,5000000,12241072,18945682,2017
Lone Wolf McQuade,5000000,12232628,12232628,1983
Sunshine Cleaning,5000000,12062558,17329337,2009
Fifty Shades of Black,5000000,11686940,22113075,2016
A Farewell To Arms,5000000,11000000,11017403,1957
Solomon and Sheba,5000000,11000000,11014961,1959
The Beastmaster,5000000,10751126,10751126,1982
Shaun of the Dead,5000000,13542874,29832586,2004
Black Christmas,5000000,10429730,18528789,2019
Les invasions barbares,5000000,8460000,25913869,2003
Jexi,5000000,6546159,10601127,2019
The Forsaken,5000000,6755271,6755271,2001
Force 10 from Navarone,5000000,7100000,7100000,1978
Robin and Marian,5000000,8000000,8000000,1976
Fahrenheit 11/9,5000000,6352306,6653715,2018
Saved!,5000000,8886160,10206551,2004
Win Win,5000000,10179275,11869063,2011
Digimon: The Movie,5000000,9628751,16628751,2000
Momsâ Night Out,5000000,10429707,10537341,2014
The Belko Experiment,5000000,10166820,11792942,2017
The Perfect Match,5000000,9669521,10182050,2016
Return to the Land of Wonders,5000,1338,1338,2005
Dora and the Lost City of Gold,49000000,60477943,117419117,2019
The One,49000000,43905746,72689126,2001
Chappie,49000000,31569268,105002056,2015
The Adventures of Ford Fairlane,49000000,20423389,20423389,1990
Anna Karenina,49000000,12816367,71004627,2012
Kate and Leopold,48000000,47095453,70937778,2001
Tooth Fairy,48000000,60022256,112610386,2010
3:10 to Yuma,48000000,53606916,71171825,2007
K-PAX,48000000,50315140,50315140,2001
Rat Race,48000000,56607223,86607223,2001
The Cotton Club,48000000,25928721,25928721,1984
Bedazzled,48000000,37879996,90376224,2000
Out of Sight,48000000,37562568,77562568,1998
The Bone Collector,48000000,66488090,151463090,1999
Charlieâs Angels,48000000,17801306,73180003,2019
Three Kings,48000000,60652036,107752036,1999
The Ring,48000000,129094024,248218486,2002
Instant Family,48000000,67363237,119736188,2018
The Thomas Crown Affair,48000000,69304264,124304264,1999
Zombieland: Double Tap,48000000,73118130,122266018,2019
Taken 3,48000000,89256424,327656424,2015
Panic Room,48000000,95308367,196308367,2002
Traffic,48000000,124107476,208300000,2000
Indiana Jones and the Last Crusade,48000000,197171806,474171806,1989
The Toxic Avenger,475000,0,0,1986
Rambo,47500000,42754105,112214531,2008
The Infiltrator,47500000,15436808,22152137,2016
Mary Reilly,47000000,5707094,12900000,1996
Earth,47000000,32011576,116773317,2009
Jonah Hex,47000000,10547117,11022696,2010
Solaris,47000000,14970038,14970038,2002
Riding in Cars with Boys,47000000,29781453,29781453,2001
Happily N'Ever After,47000000,15849032,37923818,2007
Addams Family Values,47000000,46293855,46293855,1993
Arrival,47000000,100546139,203127894,2016
Dick Tracy,47000000,103738726,162738726,1990
The Cable Guy,47000000,60240295,102825796,1996
Silence,46500000,7100177,23726626,2016
Mr. Nobody,46500000,3622,22254,2012
My Best Friend's Wedding,46000000,126813153,298923419,1997
America's Sweethearts,46000000,93607673,160648493,2001
Star Trek: First Contact,46000000,92027888,150000000,1996
Insomnia,46000000,67263182,113622499,2002
Prisoners,46000000,61002302,113402302,2013
Courage Under Fire,46000000,59003384,100833145,1996
Inchon,46000000,4408636,4408636,1982
Pepi Luci Bom y otras chicas del montÃ³n,46000,48363,48363,1980
Paranormal Activity,450000,107918810,194183034,2009
As It Is in Heaven,450000,13486,13486,2014
Straight out of Brooklyn,450000,2712293,2712293,1991
Rise Of the Entrepreneur - The Search For A Bet…,450000,0,0,nown
Mutual Friends,450000,0,0,2014
Poultrygeist: Night of the Chicken Dead,450000,13804,22623,2008
Siakh lokhamim: ha'slilim ha'gnouzim,450000,41260,42503,2015
Sunday,450000,410919,450349,1997
Brick,450000,2075743,4243996,2006
Conversations with Other Women,450000,379418,1297745,2006
Arthur and the War of Two Worlds,45500000,347136,36180824,2015
Babylon A.D.,45000000,22532572,70216497,2008
The Ant Bully,45000000,28142535,49610898,2006
Revolutionary Road,45000000,22951340,79604820,2008
Across the Universe,45000000,24343673,29367143,2007
Aliens in the Attic,45000000,25200412,59551283,2009
Dune,45000000,27447471,27449336,1984
Johnny English,45000000,28013509,161735791,2003
Savages,45000000,47323100,82513490,2012
Doctor Sleep,45000000,31581712,71856239,2019
Cellular,45000000,32003620,61453420,2004
The Indian in the Cupboard,45000000,35627222,35627222,1995
16 Blocks,45000000,36895141,65595141,2006
Last Holiday,45000000,38399961,43343247,2006
All Eyez on Me,45000000,44922302,57697426,2016
Blended,45000000,46290741,127990741,2014
The River Wild,45000000,46815000,94215000,1994
Frankenstein,45000000,22006296,112006296,1994
Fat Albert,45000000,48114556,48563556,2004
Resident Evil: Extinction,45000000,50648679,149871103,2007
Richard Jewell,45000000,22345542,43100570,2019
Welcome to Marwen,45000000,10763520,13086137,2018
The Glimmer Man,45000000,20404841,36404841,1996
Foodfight!,45000000,0,73706,2012
Kicking and Screaming,45000000,52842724,55842724,2005
The Pledge,45000000,19719930,29406132,2001
The Producers: The Movie Musical,45000000,19398532,32952995,2005
The Phantom,45000000,17220599,17220599,1996
Rebound,45000000,16809014,17492014,2005
The Ghost Writer,45000000,15541549,65532491,2010
All the Pretty Horses,45000000,15527125,18120267,2000
Bangkok Dangerous,45000000,15298133,46598133,2008
Nixon,45000000,13668249,34668249,1995
Dredd,45000000,13414714,41467606,2012
The Rum Diary,45000000,13109815,21544732,2011
Deep Rising,45000000,11203026,11203026,1998
Johnny English Reborn,45000000,8406711,164640401,2011
Miracle at St. Anna,45000000,7916887,9676497,2008
Big Trouble,45000000,7262288,8488871,2002
Man cheng jin dai huang jin jia,45000000,6566773,76904429,2006
Love in the Time of Cholera,45000000,4617608,31077418,2007
Pinocchio,45000000,3681811,31681811,2002
Shadow Conspiracy,45000000,2154540,2154540,1997
The Hitchhiker's Guide to the Galaxy,45000000,51019112,102746214,2005
Monster-in-Law,45000000,82931301,155931301,2005
Yours Mine and Ours,45000000,53359917,72359917,2005
Pitch Perfect 3,45000000,104897530,185736412,2017
The Client,45000000,92115211,117615211,1994
The Bucket List,45000000,93466502,174807445,2007
Tin Cup,45000000,53854588,75854588,1996
The Princess Diaries 2: Royal Engagement,45000000,95149435,122071435,2004
The Pelican Brief,45000000,100768056,187995859,1993
Journey to the Center of the Earth,45000000,101704370,243180937,2008
Miss Congeniality,45000000,106807667,213420951,2000
Patriot Games,45000000,83287363,178100000,1992
Scary Movie 3,45000000,110000082,155200000,2003
The Flintstones,45000000,130531208,358500000,1994
Taken 2,45000000,139854287,377807404,2012
A Bug's Life,45000000,162798565,363095319,1998
Liar Liar,45000000,181410615,302710615,1997
Multiplicity,45000000,20133326,20133326,1996
The Muppets,45000000,88625922,160971922,2011
UglyDolls,45000000,20150241,28363146,2019
Training Day,45000000,76261036,104505362,2001
The Specialist,45000000,57362581,170362581,1994
Blade,45000000,70141876,131237688,1998
Coach Carter,45000000,67264877,76665507,2005
Changing Lanes,45000000,66790248,66790248,2002
Anaconda,45000000,65598907,136998907,1997
Underworld: Evolution,45000000,62318875,113417762,2006
A Beautiful Day in the Neighborhood,45000000,61696436,68406338,2019
Coyote Ugly,45000000,60786269,113916474,2000
Love Actually,45000000,59472278,248282570,2003
Jack,45000000,58617334,58617334,1996
The Bounty Hunter,45000000,67061228,135808837,2010
The Girl on the Train,45000000,75395035,174278214,2016
Galaxy Quest,45000000,71423726,90523726,1999
Office Christmas Party,45000000,54767494,115097874,2016
Scary Movie 2,45000000,71277420,141189101,2001
A True Story,45000,0,0,2013
Argo,44500000,136025503,227140757,2012
Rambo: First Blood Part II,44000000,150415432,300400000,1985
Heaven's Gate,44000000,3484331,3484523,1980
The Interview,44000000,6105175,12342632,2014
The Juror,44000000,22730924,22730924,1996
Charlie St. Cloud,44000000,31206263,48478084,2010
Sleepers,44000000,53300852,165600852,1996
The Fugitive,44000000,183875760,353715317,1993
42nd Street,439000,1438000,2281000,1933
Metropolitan,430000,2938000,2938000,1990
A Monster Calls,43000000,3740823,46414530,2016
The Heat,43000000,159581587,229727774,2013
Finding Forrester,43000000,51768623,80013623,2000
28 Days,43000000,37035515,62063972,2000
Danny the Dog,43000000,24537621,49037621,2005
The Sweetest Thing,43000000,24430272,63078756,2002
The Girl in the Spiderâs Web,43000000,14828555,34983342,2018
Gory Gory Hallelujah,425000,12604,12604,2005
Moartea domnului Lazarescu,425000,80301,581304,2006
Twenty-Two,425000,22222,25733825,2017
Blue Ruin,420000,258384,437002,2014
The Mechanic,42500000,29121498,76347393,2011
The Firm,42000000,158340892,270340892,1993
Licence to Kill,42000000,34667015,156167015,1989
Pourquoi j'ai pas mangÃ© mon pÃ¨re,42000000,0,15451663,2015
Les BronzÃ©s 3: amis pour la vie,42000000,0,83833602,nown
Micmacs,42000000,1259693,18821576,2010
McHale's Navy,42000000,4408420,4408420,1997
The Warrior's Way,42000000,5666340,8514325,2010
Man on a Ledge,42000000,18620000,49621440,2012
Hero,42000000,19487173,66787173,1992
Super Mario Bros.,42000000,20844907,20844907,1993
Lord of War,42000000,24149632,60437727,2005
15 Minutes,42000000,24375436,56331864,2001
One for the Money,42000000,26414527,36197221,2012
21 Jump Street,42000000,138447667,202812429,2012
Holmes & Watson,42000000,30568743,41926605,2018
Along Came Polly,42000000,88073507,173044410,2004
Snatched,42000000,45852178,57852177,2017
Notting Hill,42000000,116089678,363718196,1999
Little Women,42000000,108095955,216889757,2019
Chicken Run,42000000,106793915,227793915,2000
Boomerang,42000000,70052444,131052444,1992
BrÃ¼no,42000000,60054530,138708527,2009
Cleopatra,42000000,57000000,71000000,1963
Here Comes the Boom,42000000,45290318,73239258,2012
High Crimes,42000000,41543207,63781100,2002
The Mirror Has Two Faces,42000000,41267469,41267469,1996
Red Riding Hood,42000000,37662162,91678442,2011
The Mothman Prophecies,42000000,35228696,56438555,2002
George Washington,42000,241816,342722,2000
This Is Martin Bonner,42000,0,0,2013
8 Mile,41000000,116724075,245768384,2002
Rocketman,41000000,96368160,192137020,2019
A Knightâs Tale,41000000,56083966,100622586,2001
The Medallion,41000000,22108977,22108977,2003
The Big Year,41000000,7204138,7684524,2011
Avengers: Endgame,400000000,858373000,2797800564,2019
Home Movies,400000,89134,89134,1980
Napoleon Dynamite,400000,44540956,46122713,2004
Pancakes,400000,0,0,nown
Show Me,400000,0,0,2005
My Beautiful Laundrette,400000,0,0,1986
Viskningar och rop,400000,0,9071,1973
The Dark Hours,400000,423,423,2005
Fabled,400000,31425,31425,2004
Jackpot,400000,44452,44452,2001
Monty Python and the Holy Grail,400000,3427696,5028948,1975
Dogtown and Z-Boys,400000,1293295,1600566,2002
Heroes,400000,655538,655538,2008
Tarnation,400000,592014,1162014,2004
I Want Your Money,400000,433588,433588,2010
E tu vivrai nel terrore - L'aldilÃ,400000,126387,126387,1983
Quinceanera,400000,1692693,2797199,2006
At First Sight,40000000,22365133,22365133,1999
Sweet November,40000000,25288103,65754228,2001
The Reaping,40000000,25126214,62226214,2007
Season of the Witch,40000000,24827228,91126600,2011
Renaissance Man,40000000,24172899,24172899,1994
Quest for Camelot,40000000,22772500,38172500,1998
City by the Sea,40000000,22433915,22505932,2002
Fantastic Mr. Fox,40000000,21002919,47018717,2009
Mechanic: Resurrection,40000000,21218403,125729635,2016
Torque,40000000,21176322,46176322,2004
Resident Evil: The Final Chapter,40000000,26844692,314101190,2016
The Happytime Murders,40000000,20706452,27506412,2018
Showgirls,40000000,20350754,37750754,1995
City Hall,40000000,20278055,20278055,1996
Big Miracle,40000000,20157300,25268680,2012
The Impossible,40000000,19019882,169590606,2012
The House,40000000,25584504,31192425,2017
The Out-of-Towners,40000000,28544120,28544120,1999
The Musketeer,40000000,27053815,27053815,2001
The Island of Dr. Moreau,40000000,27682712,27682712,1996
Pay it Forward,40000000,33508922,55696705,2000
Arthur,40000000,33035397,47787943,2011
Drillbit Taylor,40000000,32862104,49686263,2008
Patriots Day,40000000,31886361,52837989,2016
Extremely Loud and Incredibly Close,40000000,31847881,55247881,2011
The Shadow,40000000,31835600,31835600,1994
Transporter 3,40000000,31715062,112930957,2008
Morning Glory,40000000,31011732,59795070,2010
Get Rich or Die Tryin',40000000,30981850,46666955,2005
Long Shot,40000000,30316271,53624424,2019
A Thousand Words,40000000,18450127,20790486,2012
Grudge Match,40000000,29817991,69817991,2013
Bless the Child,40000000,29374178,40435694,2000
Rent,40000000,29077547,31670620,2005
The Nut Job 2: Nutty by Nature,40000000,28370522,57438389,2017
The Art of War,40000000,30199105,30199105,2000
Mickey Blue Eyes,40000000,33864342,53864342,1999
Marie Antoinette,40000000,15962471,60862471,2006
Alex Rider: Operation Stormbreaker,40000000,659210,20722450,2006
The Goldfinch,40000000,5332621,9430149,2019
Extreme Ops,40000000,4835968,12624471,2002
Just Visiting,40000000,4777007,16172200,2001
Snowpiercer,40000000,4563029,86808205,2013
Sunshine,40000000,3688560,32030610,2007
The Hudsucker Proxy,40000000,2816518,14938149,1994
Billy Lynnâs Long Halftime Walk,40000000,1738477,30230402,2016
Pirates,40000000,1641825,6341825,1986
Delgo,40000000,915840,915840,2008
The Hunting Party,40000000,876671,7729552,2007
Red Cliff,40000000,627047,119627047,2009
Heaven and Hell,40000000,0,0,2022
The Last Shot,40000000,463730,463730,2004
Nomad,40000000,79123,79123,2007
Un monstre Ã Paris,40000000,0,27000381,2013
Solomon Kane,40000000,0,22024849,2012
Kursk,40000000,0,5578259,2018
USS Indianapolis: Men of Courage,40000000,0,1663785,2016
Dragon Nest Warriors' Dawn,40000000,0,734423,2015
Death Note,40000000,0,0,2017
Down Under Cover,40000000,0,0,nown
The Spy Who Dumped Me,40000000,33562069,77109957,2018
Victor Frankenstein,40000000,5775076,31124367,2015
Impostor,40000000,6114237,7974607,2002
The Hurricane Heist,40000000,6115824,30963684,2018
Baahubali: The Beginning,40000000,6738000,26736665,2015
Timmy Failure: Mistakes Were Made,40000000,0,0,2020
Hunter Killer,40000000,15767460,29325209,2018
Get Carter,40000000,14967182,19417182,2000
Kiss of Death,40000000,14942422,14942422,1995
Keeping Up with the Joneses,40000000,14904426,28804426,2016
Life or Something Like It,40000000,14448589,14448589,2002
Ishtar,40000000,14375181,14375181,1987
Memoirs of an Invisible Man,40000000,14358033,14358033,1992
Amelia,40000000,14279575,19756077,2009
Cirque du Freak: The Vampire's Assistant,40000000,14046595,39753957,2009
New York Minute,40000000,14018364,21156715,2004
The Deep End of the Ocean,40000000,13508635,13508635,1999
Alfie,40000000,13395939,35195939,2004
FearDotCom,40000000,13208023,13289290,2002
Soul Men,40000000,12082391,12345883,2008
The Gunman,40000000,10664749,18594227,2015
Universal Soldier II: The Return,40000000,10447421,10717421,1999
Pandorum,40000000,10330853,17033431,2009
Duplex,40000000,9652000,10070651,2003
Paranoia,40000000,7388654,16340767,2013
Raise the Titanic,40000000,7000000,7000000,1980
Detroit,40000000,16790139,26033563,2017
The Other Boleyn Girl,40000000,26814957,78269970,2008
The Sixth Sense,40000000,293506292,672806292,1999
Horrible Bosses 2,40000000,54445357,105945357,2014
Legal Eagles,40000000,49851591,49851591,1986
Music and Lyrics,40000000,50572589,146196885,2007
Apocalypto,40000000,50866635,121032272,2006
The Living Daylights,40000000,51185000,191200000,1987
The Odd Life of Timothy Green,40000000,51853450,55249159,2012
Predators,40000000,52000688,127234389,2010
The Lake House,40000000,52330111,114830111,2006
The Prestige,40000000,53089891,104407366,2006
The Count of Monte Cristo,40000000,54228104,75389090,2002
Spawn,40000000,54979992,87949859,1997
The Skeleton Key,40000000,47907715,92256918,2005
Small Soldiers,40000000,55143823,71743823,1998
Escape From Planet Earth,40000000,57012977,74156610,2013
Invincible,40000000,57806952,58501127,2006
Shall We Dance?,40000000,57887882,118097882,2004
The Lincoln Lawyer,40000000,58009200,87145086,2011
Behind Enemy Lines,40000000,58855732,58855732,2001
Gothika,40000000,59588068,141484812,2003
Get Him to the Greek,40000000,61153526,92994927,2010
Unknown,40000000,63686397,136123083,2011
Secret Window,40000000,47958031,92110539,2004
Jersey Boys,40000000,47047013,65282732,2014
The Final Destination,40000000,66477700,187384627,2009
Scream 4,40000000,38180928,95989590,2011
The Doors,40000000,34416893,34420595,1991
Hanging Up,40000000,36037909,51867723,2000
The Commuter,40000000,36343858,118509836,2018
8MM,40000000,36443442,96398826,1999
Colombiana,40000000,36665854,72295262,2011
The Guilt Trip,40000000,37134215,41294674,2012
Paul,40000000,37412945,101162106,2011
Autumn in New York,40000000,37752931,90717684,2000
Ri¢hie Ri¢h,40000000,38087756,38087756,1994
Sex Tape,40000000,38543473,126069509,2014
Made of Honor,40000000,46012734,106548738,2008
The Water Horse: Legend of the Deep,40000000,40412817,103429755,2007
Aliens vs. Predator - Requiem,40000000,41797066,128884494,2007
Fever Pitch,40000000,42071069,50071069,2005
Widows,40000000,42402632,75984700,2018
Wedding Crashers,40000000,209218368,283218368,2005
A Million Ways to Die in The West,40000000,42720965,86778557,2014
Amistad,40000000,44212592,58250151,1997
Medicine Man,40000000,44948240,44948240,1992
The Rainmaker,40000000,45916769,45916769,1997
17 Again,40000000,64167069,139474906,2009
Final Destination 5,40000000,42587643,155011165,2011
The Mexican,40000000,66808615,145238250,2001
Scream 3,40000000,89138076,161838076,2000
Scary Movie 4,40000000,90710620,178710620,2006
Ride Along 2,40000000,90862685,124827316,2016
John Wick: Chapter Two,40000000,92029184,171317271,2017
He's Just Not That Into You,40000000,93953653,181053657,2009
American Hustle,40000000,150098456,257858943,2013
The Social Network,40000000,96962694,224922135,2010
The Conjuring 2: The Enfield Poltergeist,40000000,102470008,310399793,2016
A League of Their Own,40000000,107533925,132440066,1992
A Time to Kill,40000000,108766007,152266007,1996
Spy Kids 3-D: Game Over,40000000,111760631,167851995,2003
Double Jeopardy,40000000,116735231,177835231,1999
Back to the Future Part II,40000000,118450002,331971881,1989
Lone Survivor,40000000,125095601,149804632,2013
Lucy,40000000,126573960,457507776,2014
Cheaper by the Dozen,40000000,138614544,190212113,2003
John Wick: Chapter 3 â Parabellum,40000000,171016727,325786822,2019
Hacksaw Ridge,40000000,67209615,168904682,2016
Fifty Shades of Grey,40000000,166167230,570998101,2015
Knives Out,40000000,165364060,311253789,2019
Get Hard,40000000,90411453,111711453,2015
Julie & Julia,40000000,94125426,131516178,2009
The Karate Kid,40000000,176591618,351774938,2010
Sin City,40000000,74103820,158527918,2005
The House with a Clock in its Walls,40000000,68549695,131457147,2018
Angel Has Fallen,40000000,69030436,133365452,2019
Big Momma's House 2,40000000,70165972,137047376,2006
JFK,40000000,70405498,205400000,1991
Shallow Hal,40000000,70836296,70836296,2001
I Love You Man,40000000,72013010,92302502,2009
Back to the Future Part III,40000000,88055283,244087268,1990
Bridge of Spies,40000000,72313754,162498338,2015
Vantage Point,40000000,72266306,150886329,2008
The Proposal,40000000,163958031,314709717,2009
The Accountant,40000000,86260045,152962083,2016
Dumb and Dumber To,40000000,86208010,156553592,2014
Ray,40000000,75305995,124823094,2004
The Last of the Mohicans,40000000,75505856,75505856,1992
The Intern,40000000,75764672,197115710,2015
The Talented Mr. Ripley,40000000,81292135,128792135,1999
Eight Below,40000000,81612565,120455994,2006
The Other Woman,40000000,83911193,195111193,2014
Bram Stoker's Dracula,40000000,82522790,215862692,1992
The Exploding Girl,40000,25572,25572,2010
Smiling Fish and Goat on Fire,40000,277233,277233,2000
Foreign Letters,40000,0,0,2012
Raymond Did It,40000,3632,3632,2011
Soul Kitchen,4900000,276901,23347461,2010
The Awakening,4900000,95933,6924321,2012
All Hat,4900000,15198,15198,2008
Mommy,4900000,3498695,17536004,2014
Every Day,4900000,6112914,12826031,2018
Obsluhoval jsem anglickÃ©ho krÃ¡le,4900000,617228,7174984,2008
Sling Blade,4833610,24475416,34175000,1996
Hostel,4800000,47326473,82241110,2006
Only God Forgives,4800000,775849,4494560,2013
Tristram Shandy: A Cock and Bull Story,4750000,1253413,3061763,2006
Take Shelter,4750000,1728953,4972016,2011
Treading Water,4700000,0,0,2015
Without Men,4700000,0,0,nown
The Texas Chainsaw Massacre 2,4700000,8025872,8025872,1986
Lady in White,4700000,1705139,1705139,1988
Driving Lessons,4700000,239962,239962,2006
Pat Garrett and Billy the Kid,4638783,8000000,11000000,1973
Le nom des gens,4600000,514237,9261711,2011
Savage Grace,4600000,434417,968805,2008
Out of the Blue,4600000,728,731767,2007
The Assassination of Richard Nixon,4600000,708776,4880143,2004
Dear Frankie,4600000,1340891,3099369,2005
Barfi,4600000,2804874,36751984,2012
Camping Sauvage,4600000,3479302,3479302,2004
After.Life,4500000,108596,2481925,2010
Spun,4500000,410241,1022649,2003
Life During Wartime,4500000,281447,281447,2010
Chinjeolhan geumjassi,4500000,211667,23471871,2006
Blackthorn,4500000,200558,1217307,2011
Maggie,4500000,187112,1027760,2015
Lilja 4-ever,4500000,181655,4548505,2003
Fugly!,4500000,0,0,2014
Mean Machine,4500000,92723,92723,2002
Fong juk,4500000,51957,51957,2007
Spoken Word,4500000,32961,32961,2010
The Sweeney,4500000,26345,8000366,2012
Falcon Rising,4500000,11774,11774,2014
Hansel & Gretel Get Baked,4500000,0,0,2013
Karakter,4500000,713413,713413,1998
Daisy Winters,4500000,0,0,2017
Nannerl la soeur de Mozart,4500000,707885,2404639,2011
Requiem for a Dream,4500000,3635482,7389233,2000
Salvando al Soldado Perez,4500000,1400726,9330465,2011
After Hours,4500000,10609321,10609321,1985
Police Academy,4500000,81198894,81198894,1984
Four Weddings and a Funeral,4500000,52700832,242895809,1994
The Blue Lagoon,4500000,47923795,47923795,1980
Fast Times at Ridgemont High,4500000,27092880,27092880,1982
Secrets & Lies,4500000,13417292,13417292,1996
25th Hour,4500000,13084595,25344490,2002
Moby Dick,4500000,10400000,10400000,1956
Donnie Darko,4500000,1480006,7510877,2001
The Lobster,4500000,9196278,18019834,2015
Bound,4500000,3802260,7011317,1996
State Fair,4500000,3500000,3500000,1962
LÃ¥t den rÃ¤tte komma in,4500000,2122085,12247682,2008
Tango,4500000,1687311,5428387,1999
Salvador,4500000,1500000,1500000,1986
The Final Girls,4500000,0,0,2015
Zipper,4500000,0,0,2015
R.L. Stine's Monsterville: The Cabinet of Souls,4400000,0,0,2015
Airlift (2016),4400000,0,9969237,2016
Silent Movie,4400000,36145695,36145695,1976
One Flew Over the Cuckoo's Nest,4400000,108981275,108997629,1975
Anna,4357373,0,1200000,2014
Whale Rider,4300000,20779666,39374600,2003
Sexy Beast,4300000,6946056,10158355,2001
Paa,4300000,199228,9791282,2009
Snabba Cash,4300000,188870,10212403,2012
George A. Romero's Survival of the Dead,4200000,101740,101740,2010
High School Musical,4200000,0,5940,2006
Cargo,4200000,0,313230,2011
Animal Kingdom,4200000,1044039,8078683,2010
Nochnoy dozor,4200000,1502188,33913542,2006
Night of the Living Dead,4200000,5835247,5835247,1990
Love and Death on Long Island,4030000,2542264,2542264,1998
The Big Tease,4000000,185577,185577,2000
The Velocity of Gary,4000000,34145,34145,1999
Among Giants,4000000,64359,64359,1999
An Everlasting Piece,4000000,75078,75078,2000
Trust,4000000,120016,120016,2011
Tau ming chong,4000000,129078,38899792,2010
Manglehorn,4000000,132270,797439,2015
Mondays in the Sun,4000000,146402,146402,2003
Guten Tag Ramon,4000000,154356,4854356,2014
Desert Dancer,4000000,155271,596335,2014
Polina danser sa vie,4000000,165203,953314,2016
Poolhall Junkies,4000000,563711,563711,2003
Psycho Beach Party,4000000,267972,267972,2000
Adoration,4000000,294244,384244,2009
Shooting Fish,4000000,302204,302204,1998
Prison,4000000,354704,354704,1988
Joe,4000000,373375,373375,2014
The Face of Love,4000000,385069,1158877,2013
The Loss of Sexual Innocence,4000000,399793,399793,1999
Praia do Futuro,4000000,20620,760678,2014
Holy Motors,4000000,641054,4230426,2012
The Barbarians,4000000,800000,800000,1987
MirrorMask,4000000,864959,973613,2005
Stake Land,4000000,33245,679482,2011
Patients of a Saint,4000000,0,2993667,2020
Sonny,4000000,17639,17639,2002
The Last Time I Committed Suicide,4000000,12836,12836,1997
The Ninth Configuration,4000000,0,0,nown
Chain of Command,4000000,0,0,2015
How to Fall in Love,4000000,0,0,nown
The Perfect Wave,4000000,0,0,2014
The Veil,4000000,0,0,2016
The Helpers,4000000,0,0,nown
Replicas,4000000,0,0,2012
Purple Violets,4000000,0,0,2008
Hell's Angels,4000000,0,0,1930
1776,4000000,0,0,1972
The Loved Ones,4000000,0,12302,2012
Nothing,4000000,0,63180,nown
Brawl in Cell Block 99,4000000,0,79208,2017
A Lonely Place to Die,4000000,0,442550,2011
Down a Dark Hall,4000000,0,2842176,2018
Thumbsucker,4000000,1328679,1919197,2005
Geograf globus propil,4000000,0,4454853,2013
Perfectos Desconocidos,4000000,0,31166312,2017
Inescapable,4000000,4327,4327,2013
Another Happy Day,4000000,9120,978527,2011
13 Sins,4000000,9134,47552,2014
Red State,4000000,1065429,1983596,2011
The Signal,4000000,600896,2665322,2014
The Art of Getting By,4000000,1430241,1989035,2011
The Darkness,4000000,10753574,10904495,2005
What the #'! Do We Know,4000000,10941801,11704768,2004
The Great Escape,4000000,11744471,11972561,1963
Saving Grace,4000000,12178602,27786849,2000
They Live,4000000,13000000,13000774,1988
The Return of the Living Dead,4000000,14237880,14237880,1985
Trapeze,4000000,14400000,14400000,1956
The Front Page,4000000,15000000,15000000,1974
The Last Exorcism Part II,4000000,15179303,25448707,2013
Late Night,4000000,15500045,22373378,2019
A Haunted House 2,4000000,17329487,21206861,2014
CafarnaÃºm,4000000,1660708,65233793,2018
The Kids Are All Right,4000000,20811365,36275469,2010
Exodus,4000000,21750000,21750000,1960
Boyhood,4000000,25379975,57273049,2014
Monster's Ball,4000000,31273922,43766463,2001
Leaving Las Vegas,4000000,31983777,49800000,1995
The Greatest Show on Earth,4000000,36000000,36000000,1952
The Boy Next Door,4000000,36006065,53401938,2015
Annie Hall,4000000,38251425,38251425,1977
Lost in Translation,4000000,44585453,117085297,2003
The Crying Game,4000000,62546695,62546695,1992
Peter Pan,4000000,87400000,87400000,1953
Porky's,4000000,109492484,109492484,1982
The Lighthouse,4000000,10867104,18266103,2019
Life of Brian,4000000,20182359,20515353,1979
Scoop,4000000,10525717,40103262,2006
The Rules of Attraction,4000000,6525762,11799060,2002
You Kill Me,4000000,2426851,3858964,2007
Samsara,4000000,2672413,5966671,2012
Love Stinks,4000000,2793776,2793776,1999
Talk Radio,4000000,3468572,3468572,1988
The Real Cancun,4000000,3816594,4188034,2003
Secretary,4000000,4046737,9412015,2002
Four Rooms,4000000,4301000,4301000,1995
